country,year,nosuicide,population,suicide_per_100k
Uruguay,1999,450,3034833,14.82783402
Romania,2002,3067,20700580,14.81600999
Norway,1986,579,3911700,14.8017486
New Zealand,1991,474,3203900,14.79446924
Czech Republic,2016,1318,8929942,14.75933438
Sweden,1998,1231,8346300,14.74905048
Luxembourg,1986,51,346000,14.73988439
France,2014,8881,60275954,14.73390201
Czech Republic,2009,1464,9937407,14.73221334
New Zealand,1990,455,3089400,14.72777886
USA,2015,44189,300078511,14.72581287
Slovakia,2003,753,5113982,14.7243381
Norway,1993,590,4010500,14.71138262
Slovakia,1995,735,5005232,14.684634
Kyrgyzstan,1993,563,3841200,14.65687806
Trinidad and Tobago,1998,171,1167924,14.64136365
Kyrgyzstan,1990,547,3737300,14.63623471
Luxembourg,2006,65,444821,14.61261946
Mauritius,1991,137,938100,14.60398678
Canada,1988,3510,24080600,14.57604877
Bulgaria,2003,1092,7493166,14.57327917
Denmark,2000,728,4998610,14.56404881
Sweden,1999,1220,8378013,14.56192536
South Korea,2000,6444,44271743,14.55555974
Poland,2007,5284,36310843,14.55212703
Iceland,1985,32,220100,14.53884598
New Zealand,1999,516,3549300,14.53807793
Cuba,2010,1558,10725848,14.52565802
Uruguay,1995,427,2943816,14.50498265
Denmark,2001,727,5018451,14.48654176
Iceland,2014,44,304472,14.45124675
Sweden,1997,1201,8311300,14.45020635
Ireland,1998,498,3449415,14.43723066
Uruguay,1993,418,2896228,14.43256539
Suriname,1988,49,339611,14.42827235
Luxembourg,2004,62,430128,14.41431388
Mauritius,1993,138,958300,14.40050089
Trinidad and Tobago,1992,163,1132600,14.3916652
Australia,1987,2164,15046500,14.38208221
Guyana,1989,94,654104,14.37080342
Canada,1995,3968,27618500,14.36718142
USA,2014,42769,297749735,14.3640766
Canada,1989,3491,24368400,14.3259303
Cuba,2004,1515,10578701,14.32122904
Czech Republic,2006,1400,9780319,14.31446152
Kyrgyzstan,1991,543,3796500,14.30264718
Australia,1991,2288,16012100,14.2891938
Germany,1999,11160,78141200,14.28183852
Sweden,2005,1219,8538624,14.27630494
Slovakia,2000,729,5111813,14.26108506
Australia,1996,2426,17015100,14.25792384
Germany,2001,11167,78421514,14.23971488
Cuba,2003,1499,10531074,14.23406578
Cuba,2011,1529,10748034,14.22585749
Canada,1996,3941,27706600,14.2240477
Germany,2002,11176,78633771,14.21272293
Canada,1999,4074,28681643,14.2042072
Australia,1988,2172,15312100,14.18486034
Sweden,2009,1242,8755922,14.18468552
Sweden,2001,1197,8439317,14.18361225
Germany,2003,11155,78756461,14.16391729
Germany,2000,11073,78242066,14.15223366
Canada,1991,3593,25390400,14.15101771
Poland,1990,4970,35164800,14.13345163
Suriname,1995,55,389414,14.123786
New Zealand,2001,508,3599090,14.11467899
Canada,1993,3803,26944700,14.11409294
Finland,2015,731,5181797,14.10707521
Australia,1999,2488,17641702,14.10294766
Singapore,1990,354,2511800,14.09347878
Trinidad and Tobago,2000,166,1178363,14.08733981
Czech Republic,2007,1379,9818295,14.04520846
Slovakia,2002,717,5107584,14.03794827
South Korea,1997,6024,42956100,14.02361946
Canada,1992,3708,26454400,14.01657191
Norway,1999,583,4159745,14.01528219
Romania,2003,2894,20656841,14.0098866
Trinidad and Tobago,2004,168,1200116,13.9986468
Seychelles,1985,8,57300,13.96160558
Sweden,2006,1197,8576044,13.95748436
Cuba,2015,1511,10832068,13.94932159
Switzerland,2013,1071,7681318,13.94291969
Sweden,2002,1180,8465828,13.93838854
USA,2013,41143,295322862,13.93153233
Australia,1990,2202,15807000,13.9305371
Czech Republic,2008,1379,9899594,13.92986419
New Zealand,2003,519,3729420,13.91637306
Sweden,2016,1130,8125852,13.90623408
Uruguay,1994,406,2920296,13.90270027
Australia,1992,2251,16203500,13.89206036
Slovakia,1994,691,4974858,13.88984369
Cuba,2013,1499,10792690,13.88903045
Czech Republic,2015,1387,9989325,13.88482205
Cuba,2012,1495,10770535,13.88046183
Canada,1985,3258,23499900,13.86388878
USA,2012,40596,292827128,13.86346964
USA,1986,30892,222953000,13.85583509
Australia,1986,2044,14809800,13.80167187
Australia,1994,2283,16549400,13.79506206
Cuba,2009,1477,10708230,13.79312921
Singapore,1985,324,2350500,13.78430121
Chile,2009,2148,15584149,13.78323577
South Korea,1996,5857,42507100,13.77887459
Trinidad and Tobago,1997,160,1162267,13.76620002
Canada,1994,3748,27246000,13.75614769
Switzerland,2011,1034,7518040,13.75358471
Singapore,1986,326,2379300,13.70150885
New Zealand,1986,414,3026100,13.68097551
Canada,1990,3378,24704400,13.67367756
USA,1987,30783,225148000,13.67233997
Switzerland,2012,1038,7595591,13.66582271
Ireland,2001,488,3573974,13.65426833
Iceland,2001,36,263738,13.64991014
Ireland,1997,466,3414285,13.64853842
Denmark,2002,688,5041222,13.64748468
Sweden,2013,1230,9024081,13.6301968
Germany,2004,10741,78811814,13.6286674
Guyana,1990,89,653426,13.62051709
Australia,2015,3027,22240785,13.61013112
USA,2011,39508,290313825,13.60872153
Bulgaria,2004,1013,7447563,13.60176477
Switzerland,2015,1073,7892502,13.59518186
Romania,2010,2766,20348649,13.59304001
Slovakia,1999,692,5098200,13.57341807
Slovakia,2001,692,5100256,13.56794639
Sweden,2004,1155,8514314,13.56539118
Australia,2001,2458,18130883,13.556979
Chile,2008,2088,15415661,13.54466734
New Zealand,1993,443,3273200,13.53415618
Switzerland,2010,1006,7439147,13.5230558
New Zealand,2006,527,3898600,13.51767301
Norway,1995,548,4055900,13.51118124
Romania,1994,2887,21386000,13.49948564
Sweden,2008,1170,8688504,13.46606965
Sweden,2000,1131,8409008,13.44986234
Cuba,2014,1453,10813411,13.43701816
USA,1990,30895,229952200,13.43540092
Trinidad and Tobago,1991,148,1102000,13.43012704
Iceland,1996,33,246500,13.38742394
Romania,1997,2859,21369000,13.37919416
Australia,2000,2391,17874410,13.3766653
USA,1988,30388,227353000,13.36599913
Slovakia,1996,672,5032436,13.35337399
New Zealand,2005,514,3849280,13.35314656
USA,1985,29446,220723000,13.34070305
USA,2010,38362,287839149,13.32758248
New Zealand,2012,549,4120870,13.32242949
Romania,2000,2836,21290400,13.32055762
Romania,1998,2838,21338400,13.29996626
Bulgaria,2006,977,7358508,13.27714803
Norway,1998,548,4129400,13.27069308
Australia,1989,2066,15570600,13.26859594
Bulgaria,2005,982,7404051,13.26300967
Mauritius,1994,129,972800,13.26069079
Iceland,1997,33,248929,13.2567921
Romania,2006,2721,20526561,13.25599549
Slovakia,1998,673,5081100,13.24516345
Netherlands,2016,1886,14239554,13.24479685
Uruguay,1996,393,2967278,13.24446176
Slovakia,2005,679,5126946,13.24375174
USA,1991,30790,232955000,13.21714494
New Zealand,2010,536,4055470,13.21671717
Romania,1996,2828,21397300,13.21662079
Switzerland,2014,1032,7809621,13.21446969
Slovakia,2004,676,5121210,13.20000547
Romania,2004,2720,20610767,13.19698583
Australia,2014,2891,21927587,13.18430523
Germany,2014,10217,77552369,13.17432353
USA,1989,30218,229487000,13.16763041
Norway,1994,531,4033300,13.16539806
Singapore,1995,364,2765300,13.16312877
Cuba,2005,1397,10616406,13.15887881
Ireland,2000,463,3523376,13.14080586
Ireland,2011,554,4218849,13.1315437
Trinidad and Tobago,2002,156,1188800,13.12247645
Canada,1997,3681,28085100,13.10659389
New Zealand,2008,520,3968450,13.10335269
Romania,2012,2495,19041594,13.10289464
Sweden,2003,1112,8490539,13.0969306
Germany,2013,10091,77270988,13.05923512
USA,1993,31084,238092300,13.0554411
Sweden,2007,1126,8629159,13.0487803
Canada,1998,3699,28372536,13.03725546
Denmark,2004,661,5072927,13.02995292
Norway,2001,549,4215103,13.02459276
Germany,2005,10270,78851254,13.02452336
Romania,1995,2793,21451300,13.02018992
Romania,1993,2774,21307600,13.01882896
Guyana,1994,86,660582,13.0188228
New Zealand,2004,495,3802510,13.01771724
Trinidad and Tobago,2010,160,1231002,12.99754184
Norway,1997,533,4102100,12.99334487
Norway,2000,541,4168315,12.97886556
Mauritius,2000,137,1056073,12.97258807
Sweden,2015,1182,9114524,12.96831299
Suriname,1992,48,370194,12.96617449
Iceland,2015,40,308554,12.96369517
Germany,2011,10153,78371140,12.95502401
Australia,1995,2170,16766300,12.94262896
USA,2009,36900,285162662,12.93998301
Kyrgyzstan,1999,556,4298100,12.93594844
USA,1992,30471,235565600,12.93525031
USA,1994,31123,240614100,12.9348197
Sweden,2010,1141,8823125,12.93192605
Bulgaria,2008,939,7267511,12.92051708
Cuba,2006,1376,10653638,12.91577581
Germany,2015,10088,78136683,12.9107093
Sweden,2012,1154,8948909,12.89542669
Iceland,2004,35,271588,12.88716733
Norway,2011,598,4643300,12.87877156
Cuba,2008,1377,10693814,12.87660324
Suriname,1986,42,326294,12.87182725
USA,1995,31272,243164200,12.86044574
Ireland,2012,542,4220806,12.8411493
Romania,1999,2736,21310800,12.83856073
El Salvador,1995,620,4836397,12.81946044
New Zealand,2000,458,3573690,12.81588498
Germany,2010,10030,78349067,12.80168403
Iceland,2008,38,296836,12.80168174
Ireland,2009,527,4117667,12.79850945
Kyrgyzstan,1992,491,3839300,12.78878962
Romania,2001,2720,21272887,12.78622878
Australia,1985,1861,14562500,12.77939914
Iceland,2007,37,289712,12.77130392
New Zealand,2009,512,4009980,12.76814348
Luxembourg,2014,67,524940,12.76336343
New Zealand,2002,467,3659190,12.7623873
USA,2008,36030,282355565,12.76050642
Chile,2011,2027,15910783,12.73978785
Trinidad and Tobago,1994,148,1162900,12.72680368
Denmark,2006,650,5110460,12.7190116
Chile,2010,2001,15751851,12.70326897
Romania,2009,2586,20390882,12.68213901
Norway,1996,517,4078000,12.67778323
Kyrgyzstan,2002,567,4473163,12.67559443
Romania,2013,2407,19003345,12.66619114
El Salvador,1990,571,4510552,12.65920446
Norway,2009,573,4527536,12.65589053
Romania,2005,2603,20569960,12.6543756
Kyrgyzstan,2001,560,4425784,12.65312541
Trinidad and Tobago,1996,146,1156185,12.62773691
Canada,2001,3694,29262055,12.62385707
Australia,2002,2319,18370058,12.62380337
Germany,2012,9896,78508115,12.60506637
Sweden,2014,1148,9114524,12.59528199
Canada,2003,3765,29958833,12.56724519
New Zealand,2007,494,3935450,12.55256705
USA,1996,30879,245997800,12.55255128
Denmark,2012,661,5270539,12.5414118
Bulgaria,2012,872,6959652,12.5293621
Denmark,2003,633,5056783,12.5178399
Sweden,2011,1112,8884644,12.515977
Singapore,1987,301,2407800,12.50103829
Romania,2011,2536,20291701,12.49772013
Romania,1992,2650,21227100,12.48404163
Slovakia,1997,630,5058389,12.45455816
Australia,1993,2038,16370000,12.44960293
Iceland,2012,37,297238,12.44793734
Canada,2000,3606,29008565,12.43081138
New Zealand,2013,513,4129770,12.42199929
Suriname,2000,52,419001,12.41047157
Germany,2006,9775,78828994,12.40025973
Denmark,2005,631,5089852,12.39721705
Ireland,2004,464,3752679,12.36450013
Ireland,2008,506,4094192,12.35897095
Ireland,2002,449,3639573,12.33661201
Bulgaria,2007,902,7312474,12.33508659
USA,2007,34596,280658606,12.32671982
Canada,2002,3650,29642114,12.31356171
Norway,2004,529,4301960,12.29672056
Kyrgyzstan,1998,509,4139700,12.29557697
Norway,2005,533,4335092,12.29501012
Ireland,2003,454,3694079,12.28993749
Portugal,2014,1222,9944433,12.2882823
USA,1997,30517,248486400,12.28115502
Portugal,2002,1210,9859832,12.27201437
Slovakia,2010,631,5147562,12.25823021
Cuba,2007,1307,10678023,12.24009351
Canada,2010,3951,32286140,12.23744926
Canada,2005,3743,30597090,12.2331895
Kyrgyzstan,1997,496,4059900,12.21704968
Germany,2009,9579,78448602,12.21054264
Uruguay,1989,344,2820700,12.1955543
Canada,2009,3890,31937357,12.18009368
Ireland,1999,424,3481871,12.17736096
Canada,2013,4054,33314836,12.16875268
Norway,2006,532,4372103,12.16805734
USA,1998,30558,251332500,12.15839575
Iceland,2009,36,296204,12.1537859
Australia,2012,2580,21238909,12.14751662
Mauritius,2002,131,1079755,12.13238188
Chile,2007,1848,15245435,12.12166134
Iceland,1999,31,255820,12.1178954
Romania,2008,2472,20433803,12.09760122
Ireland,1996,408,3375800,12.08602405
Norway,2015,590,4882909,12.0829612
Australia,2013,2608,21600180,12.07397346
Kyrgyzstan,1996,480,3978800,12.06393888
Mauritius,1997,122,1011700,12.05891074
Trinidad and Tobago,2003,144,1194458,12.05567714
New Zealand,2011,493,4090460,12.0524342
Ireland,1995,403,3345900,12.04459189
Netherlands,1985,1638,13618300,12.027933
Slovakia,2013,616,5122209,12.02606141
Germany,2008,9459,78662789,12.02474527
Bulgaria,2009,868,7219817,12.02246539
Iceland,2005,33,274929,12.00309898
Bulgaria,2010,859,7162740,11.99261735
Denmark,2009,622,5192790,11.97814662
Norway,2010,548,4582885,11.9575333
Germany,2007,9409,78776585,11.9439044
USA,2006,33292,278980848,11.93343566
Canada,2004,3613,30283966,11.93040568
Aruba,2000,10,83888,11.92065611
Canada,2012,3926,32961196,11.91097556
Chile,2006,1795,15071596,11.9098203
Luxembourg,2015,64,537748,11.90148545
Iceland,1998,30,252253,11.89282189
Guyana,1992,78,656713,11.87733454
Romania,2007,2430,20475026,11.8681168
Suriname,1999,49,413303,11.85570877
USA,2004,32428,273584136,11.85302645
Romania,1989,2529,21344500,11.84848556
Trinidad and Tobago,1999,139,1173276,11.8471698
Ireland,1994,394,3326000,11.84606133
USA,2005,32629,276106680,11.81753372
Romania,2015,2228,18863927,11.81090236
Turkmenistan,2006,506,4287650,11.8013364
Chile,2004,1735,14710993,11.79390134
Denmark,2014,629,5339166,11.78086615
USA,2002,31645,268759559,11.77446492
Mauritius,1985,104,883400,11.7726964
Ireland,2005,451,3833357,11.76514475
Iceland,1992,28,238000,11.76470588
Norway,2003,502,4273124,11.74784537
Romania,2016,1953,16644905,11.7333202
Netherlands,1987,1616,13777000,11.72969442
Canada,2008,3705,31588641,11.72889964
Netherlands,1986,1604,13695500,11.71187616
Slovakia,2009,601,5141744,11.68864105
Portugal,2003,1156,9895009,11.68265739
Denmark,2008,603,5162525,11.68033085
Netherlands,2013,1856,15899508,11.67331719
Kyrgyzstan,2000,510,4369202,11.67261207
Netherlands,2015,1873,16057342,11.66444608
Trinidad and Tobago,2006,141,1209301,11.65962817
El Salvador,1997,577,4949302,11.65820958
Romania,2014,2209,18952235,11.6556174
Singapore,1994,316,2712200,11.65105818
Norway,2002,494,4243689,11.64081534
Australia,2008,2341,20120312,11.63500844
Norway,2013,554,4767605,11.62009017
USA,2003,31477,271041510,11.61335029
Australia,2010,2420,20847547,11.60808032
Australia,2003,2156,18608029,11.58639639
Puerto Rico,1990,371,3204000,11.57927591
Netherlands,2014,1839,15899508,11.56639564
Singapore,1991,296,2559300,11.56566249
Canada,2007,3611,31242631,11.55792545
USA,2001,30607,265427546,11.53120709
Ireland,2013,487,4227378,11.52014322
Denmark,2013,610,5299698,11.51008982
South Korea,1995,4841,42076400,11.50526186
Slovakia,2008,591,5137067,11.50461927
USA,1999,29183,253748671,11.50074989
Chile,2001,1625,14139590,11.49255389
Ireland,2006,452,3937578,11.47913768
Australia,2011,2392,20881910,11.45489086
Chile,2012,1841,16075247,11.45239013
Canada,2011,3728,32615418,11.43017698
Netherlands,1991,1611,14114800,11.41355173
Ireland,2010,486,4264857,11.39545828
Chile,2003,1654,14523758,11.38823712
Australia,2009,2337,20529317,11.38372017
Ireland,2007,458,4026707,11.37405826
Canada,2006,3512,30902962,11.36460641
Norway,2014,548,4827178,11.3523885
Luxembourg,2003,48,423654,11.33000042
Denmark,2007,581,5133001,11.31891461
Belize,2011,33,291662,11.31446675
Iceland,2006,32,282999,11.30746045
Luxembourg,2010,54,477979,11.29756747
Australia,2007,2229,19734430,11.2949804
Chile,2005,1682,14893574,11.29346119
Norway,2008,505,4472089,11.29226185
Trinidad and Tobago,2005,136,1205471,11.28189728
Iceland,2002,30,266455,11.25893678
Luxembourg,2011,55,488918,11.24933015
Trinidad and Tobago,2011,139,1237186,11.23517402
Denmark,2011,589,5244150,11.23156279
Ireland,2014,486,4328043,11.22909361
Australia,2004,2114,18854551,11.21214714
Luxembourg,2005,49,437338,11.20414874
USA,2000,29343,262246108,11.1891079
Mauritius,2007,127,1135233,11.18713075
Chile,2002,1603,14332840,11.18410587
New Zealand,1985,338,3025800,11.17059951
Turkmenistan,1999,442,3958754,11.16512923
Netherlands,1992,1587,14216900,11.16277107
Slovakia,2012,571,5116922,11.15905226
Singapore,1998,328,2940200,11.15570369
Uruguay,1990,315,2834000,11.11503176
Chile,2015,1838,16565725,11.09519807
Netherlands,2012,1756,15839503,11.08620643
Australia,2006,2117,19109246,11.07840676
El Salvador,1996,540,4892391,11.0375479
Trinidad and Tobago,1987,119,1078300,11.03588983
Saint Vincent and Grenadines,2007,11,99689,11.03431673
Iceland,1995,27,244700,11.03391908
Ireland,1992,362,3283400,11.02515685
Turkmenistan,2005,468,4252530,11.00521337
Netherlands,1994,1584,14397700,11.00175723
Netherlands,1988,1523,13855700,10.99186616
Aruba,1999,9,81934,10.9844509
Norway,2007,485,4417369,10.97938615
Turkmenistan,2008,484,4412135,10.96974594
Puerto Rico,1991,355,3237200,10.96626714
Norway,2012,515,4706585,10.94211621
Guyana,1993,72,658831,10.92844751
Portugal,2010,1099,10066628,10.91726048
Netherlands,1989,1520,13929300,10.91224972
Chile,2014,1789,16406867,10.90397088
Seychelles,2013,9,82541,10.90367211
Singapore,2006,372,3411900,10.90301591
Aruba,1995,8,73581,10.87237194
Turkmenistan,2001,445,4095981,10.86430821
Netherlands,1993,1555,14313600,10.86379387
Netherlands,1996,1577,14553700,10.83573249
Bulgaria,2011,763,7056527,10.81268448
Iceland,1993,26,240500,10.81081081
Slovakia,2014,554,5129686,10.79988132
Singapore,2012,392,3631600,10.79414032
Trinidad and Tobago,2007,131,1213988,10.79088096
Denmark,2010,563,5217785,10.79001914
Singapore,2005,359,3342400,10.74078506
Netherlands,1997,1572,14639900,10.73777826
Portugal,2012,1076,10029396,10.72846261
Chile,2013,1738,16242244,10.70049188
Aruba,2005,10,93728,10.66917037
Singapore,1992,277,2604000,10.6374808
Kyrgyzstan,2012,524,4932360,10.62371765
Puerto Rico,1994,355,3343624,10.61722251
Ireland,1991,345,3252100,10.60852987
Kyrgyzstan,2003,479,4520843,10.59536905
Mauritius,2001,113,1068947,10.57115086
Chile,2000,1473,13943575,10.56400529
Portugal,1985,983,9313930,10.55408404
Portugal,2013,1052,9985074,10.53572562
Singapore,1997,303,2880000,10.52083333
Bulgaria,2014,724,6883874,10.5173337
Mauritius,2006,118,1125301,10.48608328
Uruguay,1985,287,2737400,10.48440126
Denmark,2015,564,5383060,10.47731216
Netherlands,2011,1650,15772162,10.46147003
Trinidad and Tobago,2009,128,1225097,10.44815227
Netherlands,1995,1511,14474000,10.43940859
Mauritius,2014,120,1151424,10.42187761
Bulgaria,2013,721,6920644,10.4181056
Puerto Rico,1993,345,3312472,10.41518238
Netherlands,2002,1570,15130318,10.37651687
Saint Vincent and Grenadines,1998,10,96449,10.36817385
Ireland,1990,334,3224000,10.35980149
El Salvador,1991,474,4576985,10.35616241
Portugal,2008,1038,10030640,10.34829283
Netherlands,1990,1450,14014300,10.34657457
Kyrgyzstan,2010,500,4837556,10.33579766
Kyrgyzstan,2007,482,4668640,10.32420576
Netherlands,1998,1519,14734600,10.30906845
Iceland,1994,25,242700,10.30078286
Netherlands,2005,1574,15320595,10.27375242
Netherlands,1999,1519,14832000,10.24137001
South Korea,1994,4212,41145300,10.23689218
Portugal,1987,960,9378989,10.2356448
Luxembourg,2009,48,469209,10.2299828
El Salvador,1998,512,5006338,10.22703621
Netherlands,2010,1604,15691409,10.22215405
Singapore,2004,335,3281400,10.20905711
Seychelles,2003,8,78402,10.20382133
Portugal,2009,1025,10049918,10.19908819
Aruba,2002,9,88284,10.19437271
Portugal,2007,1020,10005713,10.19417607
Kyrgyzstan,2005,470,4614533,10.18521267
Luxembourg,2012,51,501044,10.17874678
El Salvador,1999,515,5062759,10.17231909
Singapore,1993,270,2655800,10.16642819
Singapore,2002,321,3165200,10.14153924
Singapore,2000,309,3047600,10.13912587
South Korea,1993,4124,40754800,10.11905346
Portugal,2011,1017,10062815,10.10651592
Kyrgyzstan,2008,473,4690924,10.08330129
Romania,1991,2161,21458000,10.07083605
Portugal,1986,941,9349248,10.06498063
Mauritius,2011,118,1173352,10.05665819
Netherlands,2000,1501,14933235,10.05140547
South Korea,1985,3689,36716700,10.04719923
Turkmenistan,2002,416,4143692,10.03935621
Portugal,1991,942,9410507,10.01008766
Saint Vincent and Grenadines,2012,10,100167,9.983327843
El Salvador,2003,527,5283542,9.974369467
Kyrgyzstan,2006,463,4646475,9.964543014
Puerto Rico,1989,327,3283800,9.957975516
El Salvador,2001,514,5175094,9.932186739
Netherlands,2006,1525,15368697,9.922767037
Saint Lucia,2000,14,141100,9.922041106
Singapore,2003,320,3226200,9.918789908
Mauritius,2009,115,1159551,9.917631911
Netherlands,2004,1514,15265861,9.917553946
Saint Lucia,1987,11,111300,9.883198562
Turkmenistan,1998,405,4099200,9.879976581
Netherlands,2003,1502,15203397,9.879371038
Mauritius,2016,98,992432,9.874731972
Singapore,2009,349,3536100,9.869630384
Puerto Rico,1986,310,3143200,9.862560448
Ireland,1993,326,3306500,9.859367912
Singapore,2001,305,3103000,9.829197551
Netherlands,2009,1530,15602176,9.806324451
Netherlands,2001,1474,15038337,9.801615697
Trinidad and Tobago,1986,104,1061600,9.796533534
Seychelles,2006,8,81691,9.793000453
Singapore,2013,357,3661456,9.750219585
Mauritius,2012,115,1180547,9.741247066
Puerto Rico,1996,331,3401823,9.730077079
Romania,1990,2079,21401900,9.714090805
Puerto Rico,1988,314,3235600,9.704537026
Iceland,2003,26,268330,9.689561361
Singapore,2007,328,3389600,9.676658013
Turkmenistan,1990,298,3079800,9.675952984
Kyrgyzstan,2011,471,4870538,9.670389596
England,1985,5105,53006535,9.630887965
Singapore,2014,355,3689370,9.622239027
Kyrgyzstan,2004,438,4572278,9.579470015
Uruguay,1988,268,2799600,9.572796114
Puerto Rico,1992,314,3287900,9.550168801
Kyrgyzstan,2009,458,4800134,9.541400303
Aruba,2006,9,94508,9.523003344
Turkmenistan,1987,272,2859100,9.513483264
Turkmenistan,2000,383,4026478,9.512035084
Uruguay,1986,262,2757600,9.501015376
Iceland,1989,22,232000,9.482758621
Puerto Rico,2009,330,3484474,9.470582934
Argentina,2003,3289,34785907,9.45497842
Aruba,2011,9,95488,9.425268097
Luxembourg,2008,43,460371,9.340292938
England,1988,4971,53310780,9.324568127
Turkmenistan,2004,392,4211000,9.308952743
Cabo Verde,2011,42,452179,9.288357044
Uruguay,1987,258,2778900,9.284249163
Netherlands,2008,1439,15506963,9.279702286
Puerto Rico,1998,321,3464834,9.264513105
Singapore,2008,319,3448900,9.249325872
Singapore,1999,277,2997100,9.242267525
Portugal,1990,870,9420814,9.234870787
Turkmenistan,1988,270,2926300,9.226668489
South Korea,1986,3458,37540400,9.211409575
Portugal,1992,866,9401557,9.211240223
Argentina,2001,3132,34010946,9.208800014
Argentina,2002,3162,34407507,9.189854993
Thailand,1999,5276,57507860,9.174398074
El Salvador,2007,501,5467861,9.162632335
Malta,2009,36,393102,9.157928477
Mauritius,2005,102,1113942,9.156670635
El Salvador,2009,506,5528910,9.151894316
Iceland,2011,27,295475,9.13782892
El Salvador,1992,419,4591600,9.125359352
El Salvador,2012,512,5618823,9.112228664
England,1986,4839,53119533,9.10964334
Guyana,1996,60,659048,9.10404098
Kyrgyzstan,2014,461,5096430,9.04554757
El Salvador,1993,424,4694300,9.032230578
Turkmenistan,2003,377,4177740,9.02401777
Spain,1997,3373,37405000,9.017511028
El Salvador,2000,461,5118189,9.007092157
Mauritius,2015,104,1154848,9.005514146
Kiribati,1996,6,67126,8.938414325
El Salvador,2008,490,5499287,8.910246001
Kyrgyzstan,2013,446,5012200,8.898288177
Thailand,2000,5182,58262135,8.894284427
Spain,1996,3320,37341200,8.890983686
Belize,1999,18,202699,8.880162211
Argentina,2004,3121,35162945,8.875820839
Spain,2000,3394,38319996,8.856994661
Saint Lucia,1992,11,124223,8.855042947
Spain,2014,3911,44172771,8.853870634
Costa Rica,2006,350,3953916,8.851983704
Saint Lucia,1988,10,113000,8.849557522
Singapore,2015,329,3719115,8.846190559
Uzbekistan,2000,1919,21789067,8.80716921
Italy,1985,4759,54114700,8.794283254
Mauritius,2004,97,1103091,8.793472161
Israel,1989,353,4021100,8.778692398
Netherlands,2007,1354,15425404,8.777727961
Ireland,1986,282,3216700,8.766748531
Spain,2013,3873,44227625,8.756970332
Thailand,1998,4963,56691783,8.754355106
South Korea,1992,3533,40371200,8.751288047
Belize,2001,19,217279,8.744517418
Puerto Rico,1985,269,3082500,8.726682887
Portugal,1988,819,9400481,8.712320146
Spain,2003,3478,39947556,8.706414981
Spain,1998,3261,37458900,8.705541273
El Salvador,2004,464,5333170,8.700266446
Puerto Rico,2000,305,3511947,8.684641312
El Salvador,2011,485,5585785,8.682754528
Italy,1993,4697,54140523,8.6755719
England,1990,4643,53557854,8.669130022
Aruba,2004,8,92335,8.664103536
Italy,1997,4694,54181477,8.663477373
South Korea,1987,3301,38114900,8.660655019
Italy,1996,4689,54150332,8.659226688
Argentina,2006,3108,35918886,8.652829601
Spain,2004,3508,40555823,8.649805972
Italy,1986,4691,54267500,8.644216151
Turkmenistan,1991,273,3162500,8.632411067
England,1987,4594,53239668,8.628904297
Ireland,1989,278,3223200,8.624968975
Uzbekistan,2001,1914,22231527,8.609395117
Ireland,1985,276,3208200,8.602954928
Argentina,2005,3058,35550617,8.601819766
Puerto Rico,2008,300,3488811,8.598918084
Israel,1994,416,4844900,8.586348531
Spain,2002,3372,39340611,8.571295448
Belize,2000,18,210109,8.5669819
Bosnia and Herzegovina,2014,313,3654169,8.565558955
Puerto Rico,1995,289,3375154,8.562572256
England,1992,4628,54076358,8.558268662
Uzbekistan,1996,1699,19854500,8.557254023
El Salvador,2013,484,5657250,8.555393522
Singapore,2011,308,3600900,8.553417201
Guyana,1988,56,654894,8.551002147
Mauritius,2013,98,1147390,8.541123768
Portugal,1995,809,9473844,8.539300415
Puerto Rico,1987,272,3189400,8.528249828
Spain,1994,3171,37203100,8.523483258
Spain,1999,3220,37789271,8.520937067
Costa Rica,2004,325,3820857,8.505945132
Uzbekistan,1990,1459,17165700,8.499507739
Saint Lucia,2013,14,164790,8.495661144
Spain,1995,3157,37275300,8.469415404
Singapore,1996,239,2823100,8.465870851
El Salvador,2005,455,5378879,8.459011627
Saint Lucia,2014,14,165596,8.454310491
Argentina,2012,3248,38441778,8.449140932
Italy,1995,4569,54141172,8.439048937
Aruba,2007,8,94814,8.43757251
Turkmenistan,1989,253,2999000,8.436145382
England,1991,4547,53903427,8.435456247
Uzbekistan,1999,1795,21329916,8.415410544
Thailand,2002,4902,58263389,8.413516763
Mauritius,2010,98,1164931,8.412515419
Belize,2004,20,237791,8.410747253
Costa Rica,2003,315,3751871,8.39581105
Italy,1992,4543,54154898,8.38889956
Argentina,1986,2284,27244400,8.383374198
Italy,1994,4536,54143049,8.377806725
El Salvador,2002,436,5230458,8.335790097
Turkmenistan,1992,271,3252900,8.331027698
Argentina,2008,3059,36733520,8.327543889
Saint Vincent and Grenadines,1996,8,96095,8.325094958
Argentina,1988,2354,28308000,8.315670482
Turkmenistan,1997,333,4006400,8.311701278
Israel,1992,381,4588900,8.302643335
Italy,1998,4504,54250592,8.30221355
Italy,1987,4516,54424100,8.297794543
Portugal,1993,780,9410082,8.288981966
Argentina,1987,2286,27599400,8.282788756
Malta,2015,34,410637,8.279818915
Singapore,2010,296,3576800,8.275553567
Puerto Rico,1999,289,3492721,8.274351143
Saint Lucia,2002,12,145168,8.266284581
Argentina,2000,2774,33585533,8.25950864
